Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
07-02-2022,572,573.85,555.55,557.2,562.84,542838,37687,305531984,267872,49.35,18.3,-14.8
04-02-2022,576,577.3,568.05,571.85,573.57,523593,23352,300315336,217048,41.45,9.25,-4.15
03-02-2022,586.3,588.85,576.2,578.35,582.92,637754,26556,371760747,334767,52.49,12.65,-7.95
02-02-2022,582,589.8,575.2,588.15,585.02,624576,26551,365392064,245239,39.26,14.6,6.15
01-02-2022,579.95,582,566.35,576.8,575.04,717989,33776,412870040,273232,38.06,15.65,-3.15
31-01-2022,568,574.35,562.5,572.65,569.74,816817,35505,465376302,299426,36.66,11.85,4.65
28-01-2022,550,565,547.3,552.2,557.4,1011554,49592,563837870,521288,51.53,17.7,2.2
27-01-2022,558,558,537.45,544.75,544.88,1173881,75619,639622984,657363,56,20.55,-13.25
25-01-2022,565,572.3,551,562.85,562.12,1140855,73583,641299110,663154,58.13,21.3,-2.15
24-01-2022,605.2,605.2,568.75,572.85,581.22,1410698,90475,819920064,691703,49.03,36.45,-32.35
21-01-2022,610,610.5,601.05,605.2,606.35,787719,52311,477630119,519855,65.99,9.45,-4.8
20-01-2022,621,621.5,610.55,615.35,615.15,600347,46230,369300793,373655,62.24,10.95,-5.65
19-01-2022,632.6,632.6,619.1,621.3,622.69,753299,52528,469072733,469400,62.31,13.5,-11.3
18-01-2022,650,650.25,631.35,633.4,640.61,242823,10016,155554503,128987,53.12,18.9,-16.6
17-01-2022,640.8,651.75,632.85,646.2,643.83,785897,38491,505985193,321802,40.95,18.9,5.4
14-01-2022,649.8,649.8,636.5,639.8,640.8,979629,58233,627748467,546162,55.75,13.3,-10
13-01-2022,662.1,666,648,649.85,654.2,1817154,84307,1188786253,963040,53,18,-12.25
12-01-2022,700,701.1,683.15,691.35,689.91,373353,11988,257578473,138958,37.22,17.95,-8.65
11-01-2022,695,698.5,689.1,694.1,693.93,429278,18191,297890159,178404,41.56,9.4,-0.9
10-01-2022,713,714,690,693.65,696.53,518287,15942,360999947,264258,50.99,24,-19.35
07-01-2022,708.5,721.55,707.9,711.2,714.16,504871,10258,360559489,316063,62.6,13.65,2.7
06-01-2022,707.4,712.15,700.25,705.65,705.56,343220,7789,242163499,217157,63.27,11.9,-1.75
