Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
02-12-2022,338.3,340.7,336.75,337.05,337.84,309452,5994,104545404,120576,38.96,3.95,-1.25
01-12-2022,340.15,341.55,336.8,339.55,338.7,548625,14627,185821691,237517,43.29,4.75,-0.6
30-11-2022,342.2,344.05,339.05,340.05,341.15,190278,4118,64913884,68264,35.88,5,-2.15
29-11-2022,339.05,345,339.05,342.25,342.72,491651,6780,168496359,281431,57.24,5.95,3.2
28-11-2022,339.3,341.7,338.85,339.95,340.46,393199,10775,133869302,259443,65.98,2.85,0.65
25-11-2022,341,341.95,337.85,340.3,339.66,272606,5638,92594197,111175,40.78,4.1,-0.7
24-11-2022,339.25,342,337.55,340.1,339.96,253877,4613,86308147,122047,48.07,4.45,0.85
23-11-2022,342,342,337.45,339.75,339.6,475099,10938,161342538,235703,49.61,4.55,-2.25
22-11-2022,336.55,341,335.7,340.25,338.95,313219,7677,106165385,151764,48.45,5.3,3.7
21-11-2022,339.7,339.7,334.35,337.2,336.41,271962,5415,91491851,138375,50.88,5.35,-2.5
18-11-2022,343.4,344.75,339.8,341,341.56,347056,4593,118540704,,,4.95,-2.4
17-11-2022,344,347.4,342.65,343.4,344.82,235152,4164,81085411,92931,39.52,4.75,-0.6
16-11-2022,344.75,346.9,341.65,344,343.89,262072,4487,90124433,76449,29.17,5.25,-0.75
15-11-2022,347.4,348.75,339.25,345.15,342.25,869069,8362,297440962,192160,22.11,9.5,-2.25
14-11-2022,355.8,356.4,346.65,347.25,350.59,646306,17735,226588773,298679,46.21,9.75,-8.55
11-11-2022,361.9,361.9,354.75,356.4,356.8,301455,5093,107558553,110939,36.8,7.15,-5.5
10-11-2022,359.9,359.9,354.2,355.9,356.27,355707,6440,126728168,146176,41.09,5.7,-4
09-11-2022,353,361.5,353,360.5,358.22,652165,7500,233616078,318816,48.89,8.5,7.5
07-11-2022,354,356.4,350.1,353.45,351.64,733198,9568,257821115,522398,71.25,6.3,-0.55
04-11-2022,353,356,352.8,353.55,354.23,658298,9210,233190657,512119,77.79,3.2,0.55
03-11-2022,354.25,358.4,353.05,353.75,355.12,915727,12221,325190358,518072,56.57,5.35,-0.5
02-11-2022,348,356.2,348,354.4,353.92,1025678,10557,363003373,738990,72.05,8.2,6.4
01-11-2022,348.2,350.45,347.25,349.4,349.31,572483,6858,199975054,375378,65.57,3.2,1.2
31-10-2022,347.55,350.55,344.85,348.1,347.72,817775,7676,284354663,639210,78.16,5.7,0.55
28-10-2022,346,348.65,345.05,345.6,346.47,1662431,11943,575982198,1468355,88.33,3.6,-0.4
27-10-2022,346.1,348.15,343.85,345.8,344.59,999136,8406,344288799,830130,83.08,4.3,-0.3
25-10-2022,349.25,349.5,343.5,346.25,345.06,1462263,21507,504574395,1224242,83.72,6,-3
24-10-2022,349,349.9,347.3,347.75,348.43,167423,7114,58335526,,,2.6,-1.25
21-10-2022,354,354,344.5,345.55,348.54,1624395,23863,566166664,882418,54.32,9.5,-8.45
20-10-2022,346.45,350.9,344.8,349.7,347.89,842904,14005,293238313,332912,39.5,6.1,3.25
19-10-2022,343.8,347.4,339.9,346.35,344.52,521265,7316,179587136,185947,35.67,7.5,2.55
18-10-2022,333,341,333,340.25,338.84,682934,12459,231405603,356526,52.2,8,7.25
17-10-2022,331.6,334.65,329.65,332.3,332.13,4093613,6912,1359629717,4006624,97.88,5,0.7
14-10-2022,331.5,333.95,330.8,332.05,332.44,397561,7399,132166144,233226,58.66,3.15,0.55
13-10-2022,329.05,331.25,328,328.65,329.4,302396,6493,99608411,174173,57.6,3.25,-0.4
12-10-2022,327.05,331.4,324.8,330.15,328.79,242420,4231,79704288,75802,31.27,6.6,3.1
11-10-2022,328.05,330.5,325.05,326,328.11,369634,9452,121278941,187808,50.81,5.45,-2.05
10-10-2022,329.2,331.3,326.15,327.95,328.22,251092,5743,82412290,84706,33.74,5.15,-1.25
07-10-2022,336.55,336.95,331.25,333.95,333.66,248022,5109,82755787,103816,41.86,5.7,-2.6
06-10-2022,334.2,339.1,332.6,336.55,336.01,600865,11566,201898932,279641,46.54,6.5,2.35
04-10-2022,328,333.9,328,332.85,331.18,248840,5047,82411194,107609,43.24,5.9,4.85
03-10-2022,332,332.75,323.25,324.3,327.56,344663,7315,112898867,115172,33.42,9.5,-7.7
30-09-2022,332.4,335.65,330,332,332.9,536799,12735,178702514,255245,47.55,5.65,-0.4
29-09-2022,328.45,334.9,327.75,333.05,332.49,452235,12187,150362118,165515,36.6,7.15,4.6
28-09-2022,331.1,333.3,323,324.9,328.04,798418,20871,261909522,366405,45.89,10.3,-6.2
27-09-2022,335.5,339.55,334,334.85,336.55,310108,6158,104367196,117235,37.8,5.55,-0.65
26-09-2022,345,345.95,331.8,332.55,338.15,470506,9801,159102778,,,14.15,-12.45
23-09-2022,346.85,349.5,343.25,346.25,346.87,957177,18611,332015928,364807,38.11,6.25,-0.6
22-09-2022,340.85,348.65,340.8,345.1,346.15,1119605,20310,387551206,333289,29.77,7.85,4.25
21-09-2022,335,345.1,335,341.05,340.93,564513,8556,192458634,196863,34.87,10.1,6.05
20-09-2022,338.2,339.4,334.55,335.7,337.47,621851,10632,209854739,431695,69.42,4.85,-2.5
19-09-2022,328.55,336.75,328.55,335.65,331.77,3318674,16010,1101046809,2949155,88.87,8.2,7.1
16-09-2022,331,334.65,329.7,331.35,331.54,543235,13630,180103357,315207,58.02,4.95,0.35
15-09-2022,335.35,336.95,333,334.15,334.62,401082,11045,134209332,181284,45.2,3.95,-1.2
14-09-2022,330,339,330,335.35,336.09,647537,14374,217629189,307538,47.49,9,5.35
13-09-2022,330.8,335,330.7,334.5,333.39,302412,6114,100821918,136098,45,4.3,3.7
12-09-2022,331.05,332,329.9,330.8,330.86,382450,10852,126537274,194167,50.77,2.1,-0.25
09-09-2022,330,333.35,330,330.55,331.59,516703,11439,171332189,,,3.35,0.55
08-09-2022,327.9,330.55,327.5,330,329.44,315314,5806,103876872,152150,48.25,3.05,2.1
07-09-2022,326.1,328.2,325.3,326,326.72,363584,9774,118789594,179068,49.25,2.9,-0.1
06-09-2022,329.65,329.9,326.5,327.15,328.12,259199,5209,85048479,107347,41.41,3.4,-2.5
05-09-2022,324.4,329.65,323.85,328.75,326.81,779226,10760,254660678,422417,54.21,5.8,4.35
02-09-2022,318.2,324.2,318.2,323,320.91,1099837,13460,352950226,621401,56.5,6,4.8
01-09-2022,319.3,321.7,316,317.55,317.95,284995,5522,90613776,89356,31.35,5.7,-1.75
30-08-2022,313.5,321.4,313.5,320.3,318.62,603193,6334,192190882,328761,54.5,7.9,6.8
29-08-2022,309.55,314.95,308.65,313.4,312.22,325617,5754,101665586,101854,31.28,6.3,3.85
26-08-2022,313.9,315.3,312.05,312.65,313.41,288748,4824,90495516,139514,48.32,3.25,-1.25
25-08-2022,315.05,316.35,311.5,312.3,314.61,376381,8988,118412197,180781,48.03,4.85,-2.75
24-08-2022,315.8,319.5,313.2,314.25,316.33,549826,5288,173926715,154661,28.13,6.3,-1.55
23-08-2022,313.8,316.05,312.55,315.8,314.79,283107,4628,89119634,130103,45.96,3.5,2
22-08-2022,309.05,316.95,309.05,314.2,314.83,786896,13400,247735700,417263,53.03,7.9,5.15
19-08-2022,315.75,315.95,311.25,312.2,313.56,268734,4813,84265181,102135,38.01,4.7,-3.55
18-08-2022,313,316,312.65,315.45,314.8,601315,11681,189295653,,,3.35,2.45
17-08-2022,311,314.7,311,313.25,312.52,489446,4698,152962488,211144,43.14,3.7,2.25
16-08-2022,309.65,311.5,308.7,310.5,310.75,375538,4523,116697972,206483,54.98,2.8,0.85
12-08-2022,306,309.35,304.45,308.4,307.73,707478,10398,217715374,298604,42.21,4.9,2.4
11-08-2022,313.1,313.35,305.5,306.3,308.53,364772,5271,112544797,169292,46.41,7.85,-6.8
10-08-2022,313.45,314,310.8,311.15,312.5,198399,4193,61999358,77046,38.83,3.2,-2.3
08-08-2022,310.75,313.9,310.25,313,312.53,251041,4356,78456925,116748,46.51,3.65,2.25
05-08-2022,309.9,311.75,309.1,310.75,310.83,263423,4246,81880487,125607,47.68,2.65,0.85
04-08-2022,310,310.4,307.35,309.45,309.17,423021,5033,130785147,168368,39.8,3.05,-0.55
03-08-2022,310.45,310.7,303.7,308.1,306.96,620789,6609,190556095,180765,29.12,7,-2.35
02-08-2022,310.4,316.65,308.3,309.65,311.75,2563296,26011,799102286,725401,28.3,8.35,-0.75
01-08-2022,304.7,308.8,303.15,307.55,303.4,5374195,7610,1630504274,5033737,93.66,5.65,2.85
29-07-2022,304.25,305.9,301.4,302.95,302.69,342586,5118,103698527,114168,33.33,4.5,-1.3
28-07-2022,305.9,305.9,302.4,303.35,303.81,244674,4190,74333867,89629,36.63,3.5,-2.55
27-07-2022,303,304.7,300.6,303.85,303.05,286541,4336,86837344,124026,43.28,4.1,0.85
26-07-2022,301.7,303.7,300.5,302.35,302.11,244094,4564,73743946,85234,34.92,3.2,0.65
25-07-2022,299.5,302.95,298.85,301.05,301.23,410182,5734,123557667,168764,41.14,4.1,1.55
22-07-2022,299.65,302.5,298.1,300.3,300.2,344097,5055,103296898,127396,37.02,4.4,0.65
21-07-2022,298.95,302.2,298,299.5,299.89,499505,6971,149795842,152031,30.44,4.2,0.55
20-07-2022,295.8,299.55,293.4,298.1,297.23,497109,6845,147756205,157209,31.62,6.15,2.3
19-07-2022,295.05,295.6,292.75,294.45,293.56,478955,5233,140599653,340059,71,2.85,-0.6
18-07-2022,294.5,296.3,293.8,295.05,293.83,5744940,7060,1688032891,5575749,97.05,2.5,0.55
15-07-2022,292.95,293.9,289.4,293.45,291.81,325262,4558,94913215,111287,34.21,4.5,0.5
14-07-2022,294.9,296.35,289.25,290.75,292.84,319331,6371,93511914,79966,25.04,7.1,-4.15
13-07-2022,293.95,294.75,292.75,294,293.74,276379,4347,81183952,105405,38.14,2,0.05
12-07-2022,293.45,295.3,290.9,292.65,293.14,228827,4370,67079338,74134,32.4,4.4,-0.8
11-07-2022,293,296.95,292.15,294.95,295.21,421440,7138,124415202,141817,33.65,4.8,1.95
08-07-2022,292.7,294.45,290.5,292.95,292.6,485284,6510,141993787,189705,39.09,3.95,0.25
07-07-2022,291.45,293.05,288.6,291.8,291.15,415008,6509,120830530,136369,32.86,4.45,0.35
06-07-2022,287,290,285.35,289.2,287.66,479531,6270,137939797,123007,25.65,4.65,2.2
05-07-2022,293.45,293.45,285.85,286.75,288.72,627207,8256,181087414,165380,26.37,7.6,-6.7
