Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
02-12-2022,172.1,172.7,171.25,172.15,172,139748,1358,24037015,54586,39.06,1.45,0.05
01-12-2022,173.3,173.45,170.8,172.2,171.99,235799,3118,40555911,131547,55.79,2.65,-1.1
30-11-2022,170.25,172.6,169.75,172.25,171.21,355804,3834,60915513,211435,59.42,2.85,2
29-11-2022,170.55,171.15,169,170.25,170,420030,2780,71403735,295963,70.46,2.15,-0.3
28-11-2022,169.5,171.85,169.45,170.3,170.37,285621,2945,48660256,170284,59.62,2.4,0.8
25-11-2022,169.75,171.25,168.6,169.8,169.94,1399293,2842,237790219,1138386,81.35,2.65,0.05
24-11-2022,169,170,167.65,169.35,168.68,1711299,5239,288654922,1490265,87.08,2.35,0.35
23-11-2022,167.95,168.25,166.3,168,167.53,1297122,3614,217312487,840176,64.77,1.95,0.05
22-11-2022,164.35,167.4,164.35,167,166.58,781754,4065,130222116,482672,61.74,3.05,2.65
21-11-2022,165.3,166.2,164.1,164.45,164.58,567717,2430,93435726,444771,78.34,2.1,-0.85
18-11-2022,168.3,168.9,165.15,165.65,165.97,1737722,3956,288411254,1492957,85.91,3.75,-2.65
17-11-2022,169.55,170.75,167.5,168.2,168.41,2624252,4947,441962565,2320429,88.42,3.25,-1.35
16-11-2022,171.95,172.2,169.2,169.9,170.24,572866,2920,97525825,417296,72.84,3,-2.05
15-11-2022,172,174.15,171.4,171.95,172.29,1920125,4703,330814940,1185357,61.73,2.75,-0.05
14-11-2022,171.45,173.3,171.1,171.25,171.72,1206783,5657,207224246,975649,80.85,2.2,-0.2
11-11-2022,172.5,173.55,169.65,171.45,171.17,1759029,6815,301093526,1374325,78.13,3.9,-1.05
10-11-2022,172.95,174,170.6,172.1,171.19,2343844,6126,401252295,2050897,87.5,3.4,-0.85
09-11-2022,177,177.65,172.25,173.45,173.2,2140535,4408,370734110,1494808,69.83,5.4,-3.55
07-11-2022,177.45,179.45,174.9,175.7,175.8,2135383,4254,375404911,1758912,82.37,4.55,-1.75
04-11-2022,178.55,179.55,176.4,176.85,177.38,671142,3071,119045729,414377,61.74,3.15,-1.7
03-11-2022,178.65,181.8,177.25,178.15,178.91,315702,3021,56483579,100999,31.99,4.55,-0.5
02-11-2022,181.5,182.65,180,180.8,180.78,1277690,5512,230979576,976349,76.42,2.65,-0.7
01-11-2022,173.1,182.8,173.1,181.75,179.96,2421315,13769,435729825,1787240,73.81,9.7,8.65
31-10-2022,170,174,169,173.1,172.12,1165621,6729,200629095,674788,57.89,5,3.1
28-10-2022,170.15,174.65,170,174.15,173.65,1379148,4885,239491606,1066897,77.36,4.65,4
27-10-2022,169.3,171.4,167.65,170.6,169.21,780682,3462,132099246,581716,74.51,3.75,1.3
25-10-2022,166.55,169.65,165.5,169.15,167.72,112497,2359,18868131,40548,36.04,4.15,2.6
24-10-2022,165.4,167.85,165.4,166.9,167.09,76384,1742,12763351,58571,76.68,2.45,1.5
21-10-2022,166.35,168.35,164.45,165.05,165.44,1159453,2465,191825260,919931,79.34,3.9,-1.3
20-10-2022,164,167.85,161.45,166.8,162.25,1404117,3288,227819236,1131049,80.55,6.4,2.8
19-10-2022,166.85,168.1,163.85,164,166.33,759002,8311,126242061,660919,87.08,4.25,-2.85
18-10-2022,169,169.4,166.4,166.95,167.42,716620,2736,119976350,495422,69.13,3,-2.05
17-10-2022,164.25,169,164.05,168.1,165.44,6408642,3381,1060262224,6217452,97.02,4.95,3.85
14-10-2022,165.6,167.45,164.8,165,165.92,225560,1865,37424221,121609,53.91,2.65,-0.6
13-10-2022,164.95,166.85,164.25,164.7,165.18,842514,4589,139168764,609378,72.33,2.6,-0.25
12-10-2022,164.95,165.35,161.35,164.9,163.2,1330924,3440,217202741,1102044,82.8,4,-0.05
11-10-2022,164.05,164.25,160.35,161,163.43,6819145,4314,1114482840,6604643,96.85,3.9,-3.05
10-10-2022,162,165.6,161.9,163.85,164.03,675850,4655,110856389,439055,64.96,3.7,1.85
07-10-2022,163.1,164.75,161.45,164.3,162.69,1269231,2847,206484862,1031256,81.25,3.3,1.2
06-10-2022,163.9,165.2,162.5,162.75,163.33,116226,1754,18983288,46705,40.18,2.7,-1.15
04-10-2022,160.85,164,160.85,162.45,162.36,1311239,5102,212894289,1100843,83.95,3.15,1.6
03-10-2022,158.8,164.05,158.8,160.4,162.24,462888,4549,75100549,106049,22.91,5.25,1.6
30-09-2022,159.7,161.5,157.45,159.75,159.7,308787,3777,49314392,67252,21.78,4.05,0.05
29-09-2022,158.15,161.6,158.15,159.7,160.1,1049168,4375,167968173,770599,73.45,3.45,1.55
28-09-2022,157.5,159.4,155.05,158.25,157.13,399222,4303,62729775,104402,26.15,4.35,0.75
27-09-2022,158.05,161.5,157.55,159.1,159.47,284544,2802,45377390,63615,22.36,3.95,1.05
26-09-2022,162,163.85,156.65,158.55,160.05,1752381,9326,280472649,1249216,71.29,7.2,-3.45
23-09-2022,167.5,168.5,162.65,164.05,165.67,492217,5024,81544016,234899,47.72,5.85,-3.45
22-09-2022,167.75,169.6,166.9,168.65,168.01,302376,3519,50802272,85131,28.15,2.7,0.9
21-09-2022,170.9,172.05,168.25,168.65,169.71,186701,2287,31684175,53795,28.81,3.8,-2.25
20-09-2022,171.05,173.15,170.9,171.8,171.78,807578,4334,138724785,645182,79.89,2.25,0.75
19-09-2022,172.7,173.7,170.6,171.1,172.68,4271406,4890,737601599,3961827,92.75,3.1,-1.6
16-09-2022,174,174.75,171.4,172.9,172.53,1041577,5182,179705683,611107,58.67,3.35,-1.1
15-09-2022,174.3,176.15,172.7,175.05,173.97,1594558,6554,277410557,1043191,65.42,3.45,0.75
14-09-2022,163.05,173,163.05,171.65,170.77,2584664,8899,441383885,1785238,69.07,9.95,8.6
13-09-2022,166.2,168.9,165.7,167.35,167.24,1156441,6236,193399994,804556,69.57,3.2,1.15
12-09-2022,166.7,168.05,165.45,166.35,166.55,2603938,5499,433680880,1808499,69.45,2.6,-0.35
09-09-2022,167,169.35,166.05,166.6,167.18,2071389,4748,346294621,,,3.3,-0.4
08-09-2022,167.95,169.15,165.95,166.75,166.74,1297370,5061,216317315,790730,60.95,3.2,-1.2
07-09-2022,168.7,170.15,166.7,167.3,167.39,2384852,5692,399192624,1517496,63.63,3.45,-1.4
06-09-2022,166.15,168.85,164.8,168.4,167.34,2065129,7725,345583278,1164648,56.4,4.05,2.25
05-09-2022,161.8,165.05,161.8,164.2,164.19,1286875,4130,211286414,627342,48.75,3.25,2.4
02-09-2022,162.7,166.35,161.3,161.7,163.44,1444005,7967,236014710,,,5.05,-1
01-09-2022,160.85,164.3,160.3,160.6,161.32,1255190,4585,202484262,635436,50.62,4,-0.25
30-08-2022,161.15,165.45,161.15,163.85,163.31,1976350,7257,322750971,1454384,73.59,4.3,2.7
29-08-2022,161,163.35,160.65,161,161.74,1240016,5143,200557762,892847,72,2.7,0
26-08-2022,158.3,164.7,158.3,163.4,161.03,2939439,8973,473348485,1980393,67.37,6.4,5.1
25-08-2022,161.8,162,158.55,158.95,160.16,1139104,3135,182439238,862099,75.68,3.45,-2.85
24-08-2022,158.4,163,158.1,160.4,161.48,1828511,9442,295259343,1138508,62.26,4.9,2
23-08-2022,155.4,159.3,155.4,158.35,157.37,1824504,8415,287116406,1398223,76.64,3.9,2.95
22-08-2022,157.8,158.85,156.1,156.55,157.02,747417,3329,117359024,419706,56.15,2.75,-1.25
19-08-2022,160,161.55,157.2,157.7,159.01,1195209,2885,190055449,912398,76.34,4.35,-2.3
18-08-2022,161.45,162.65,159.9,160.75,160.8,970674,5054,156081786,615476,63.41,2.75,-0.7
17-08-2022,158.75,163.65,158.75,161.45,162.3,673306,5222,109275656,207473,30.81,4.9,2.7
16-08-2022,158.7,159.8,156.95,158.5,158.31,671432,4571,106292603,369163,54.98,2.85,-0.2
12-08-2022,153.4,158.9,152.8,158.55,157.08,935141,6661,146888630,504953,54,6.1,5.15
11-08-2022,156.4,156.8,152.9,153.55,154.06,481154,3017,74127667,268605,55.83,3.9,-2.85
10-08-2022,157.4,157.4,154.9,155.7,155.69,1369086,3891,213150492,1097368,80.15,2.5,-1.7
08-08-2022,155.05,160,154.9,159.2,158.95,1665526,17347,264742206,1303044,78.24,5.1,4.15
05-08-2022,155.2,157.1,154.1,155.9,155.95,417139,4030,65054900,138570,33.22,3,0.7
04-08-2022,159.1,160.55,153.1,154.8,155.23,886100,5273,137552066,437309,49.35,7.45,-4.3
03-08-2022,159.45,160.9,157.25,159.75,159.24,495691,1992,78935071,315847,63.72,3.65,0.3
02-08-2022,156.35,160.05,156.35,159.5,158.45,599520,5053,94996812,240185,40.06,3.7,3.15
01-08-2022,152.95,157.65,151.05,156.6,153.05,5798401,5581,887453320,5563733,95.95,6.6,3.65
29-07-2022,151.4,154.4,150.55,152.95,152.83,389348,3762,59504072,145264,37.31,3.85,1.55
28-07-2022,149.7,150.95,149,150.35,149.99,241589,2907,36235667,79198,32.78,1.95,0.65
27-07-2022,151.1,151.1,149.05,149.8,149.72,96081,2072,14385079,20915,21.77,2.05,-1.3
26-07-2022,149.6,150.95,149.15,149.9,150.01,191295,2060,28696262,55976,29.26,1.8,0.3
25-07-2022,149.95,150.4,147.3,150.15,149.29,328802,3909,49087832,100848,30.67,3.1,0.2
22-07-2022,150.75,151.4,148.2,148.9,149.22,128762,1395,19213369,41523,32.25,3.2,-1.85
21-07-2022,151.45,151.45,150,150.7,150.63,346447,2659,52186005,212494,61.34,1.45,-0.75
20-07-2022,152.6,152.6,150.15,150.55,151.05,132183,1438,19965721,22492,17.02,2.45,-2.05
19-07-2022,149.5,151.1,149.25,150.7,149.95,319275,3046,47873925,166706,52.21,1.85,1.2
18-07-2022,150.7,151.6,149.35,149.85,149.8,6562076,3611,983027168,5502902,83.86,2.25,-0.85
15-07-2022,148.9,150.1,148.1,149.8,149.07,389566,4438,58074373,209538,53.79,2,0.9
14-07-2022,148.55,149.45,147.1,148.35,148.12,197142,1911,29200139,26775,13.58,2.35,-0.2
13-07-2022,146.6,149.35,146.6,148.55,148.12,1314706,14182,194730636,1045611,79.53,2.75,1.95
12-07-2022,144.75,148.15,144.1,147.05,146.74,570225,4390,83677290,228150,40.01,4.05,2.3
11-07-2022,144.35,146.95,143.7,144.35,144.89,438241,4539,63497999,96399,22,3.25,0
08-07-2022,141.95,144.15,141.15,143.5,142.57,1003683,13618,143092444,596307,59.41,3,1.55
07-07-2022,139.75,142.7,139.5,140.4,140.82,992423,10968,139757376,496504,50.03,3.2,0.65
06-07-2022,142.4,142.4,136.15,138.95,138.36,366380,3755,50691825,107818,29.43,6.25,-3.45
05-07-2022,141.9,144.25,140.25,140.75,141.95,1299141,6675,184411179,783092,60.28,4,-1.15
04-07-2022,139,142.15,139,141.4,140.85,651315,3039,91739151,267480,41.07,3.15,2.4
01-07-2022,142.65,143.2,139.8,140.55,141.03,1475700,11579,208110596,1048100,71.02,3.4,-2.1
30-06-2022,142.75,144,141.15,143.15,142.5,460374,5644,65604519,112868,24.52,2.85,0.4
29-06-2022,138,143,136.85,141.9,140.65,811008,4905,114072288,170045,20.97,6.15,3.9
28-06-2022,138.45,139.3,137.1,138.55,137.67,1539705,6249,211968335,1219767,79.22,2.2,0.1
27-06-2022,137.3,139.05,136.85,138.45,138.13,351277,3919,48520777,93341,26.57,2.2,1.15
24-06-2022,136.95,137.75,135,137,136.16,264589,2903,36025794,45828,17.32,2.75,0.05
23-06-2022,137.7,139.15,135.7,136.35,137.29,337888,5459,46388036,111692,33.06,3.45,-1.35
22-06-2022,139.95,139.95,136.7,137.65,138.12,156139,2224,21565188,20060,12.85,3.25,-2.3
21-06-2022,137.55,141.2,137.55,139.9,139.51,799985,5904,111602587,152340,19.04,3.65,2.35
20-06-2022,138.1,141.4,135.05,137.4,137.83,488783,6346,67367349,94456,19.32,6.35,-0.7
17-06-2022,140.2,144.4,139.55,140.45,141.95,542905,7336,77066031,133218,24.54,4.85,0.25
16-06-2022,149.95,150,142.05,143.05,145.08,1058465,6341,153557963,616519,58.25,7.95,-6.9
15-06-2022,152.9,153.45,147.55,148.2,149.93,286669,2983,42980506,40447,14.11,5.9,-4.7
14-06-2022,149.5,152.45,148.9,151.25,151.17,382613,5438,57837700,137354,35.9,3.55,1.75
13-06-2022,154.5,154.75,147.9,148.85,150.43,314438,3884,47299379,104326,33.18,6.85,-5.65
10-06-2022,154.6,156.6,154,155.2,155.04,248408,3217,38512258,49025,19.74,2.6,0.6
09-06-2022,155.75,158,154.7,155.2,156.02,1270230,2917,198182329,1040670,81.93,3.3,-0.55
08-06-2022,157.05,159.75,156.45,157.05,158.25,515917,5126,81643208,112685,21.84,3.3,0
07-06-2022,155.15,157.75,153.5,157.25,156.35,306479,3603,47917909,42501,13.87,4.25,2.1
06-06-2022,155.1,158.65,154.7,155.15,156.51,466593,5692,73025659,107193,22.97,3.95,0.05
03-06-2022,159.5,159.5,154.65,155.05,156.43,349790,3781,54716063,75435,21.57,4.85,-4.45
02-06-2022,155.95,159.3,154.35,159.05,157.78,404085,3684,63755988,195736,48.44,4.95,3.1
01-06-2022,156.05,160.15,156.05,156.8,158.55,479264,5842,75986310,149516,31.2,4.1,0.75
31-05-2022,150.7,158,150.4,156.15,154.86,1041102,8088,161226412,353346,33.94,7.6,5.45
30-05-2022,149.7,152.5,148.85,150.9,151.01,550994,4154,83204616,315854,57.32,3.65,1.2
27-05-2022,154.4,154.9,149.5,150.45,151.85,388747,4357,59031112,159402,41,5.4,-3.95
26-05-2022,153.75,155.05,150.6,154.2,152.52,632665,9016,96493115,205390,32.46,4.45,0.45
25-05-2022,147.7,153.1,147.35,152.65,150.41,537781,5931,80887554,161579,30.05,5.75,4.95
24-05-2022,151,151.75,146.4,147,149.46,333684,4219,49872197,103715,31.08,5.35,-4
23-05-2022,154.9,155.4,148.4,150.15,151.19,607026,4814,91775295,115213,18.98,7,-4.75
20-05-2022,150.5,151,147.65,149.5,149.58,402319,3899,60177247,118048,29.34,3.35,-1
19-05-2022,147.75,148.6,145.75,148.15,146.83,224956,2373,33029530,36858,16.38,2.85,0.4
18-05-2022,150.45,150.9,147.3,148.25,149.34,310389,3736,46352872,153107,49.33,3.6,-2.2
17-05-2022,149.95,150.85,146.25,150.45,148.84,476921,4900,70983055,160038,33.56,4.6,0.5
