Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
02-12-2022,318.7,323.9,318,319.05,320.33,180008,2418,57662008,38493,21.38,5.9,0.35
01-12-2022,316.3,321.9,315.1,320.9,317.86,503855,7396,160157082,166157,32.98,6.8,4.6
30-11-2022,323.45,323.5,312.7,314.8,316.51,298400,3475,94446324,130289,43.66,10.8,-8.65
29-11-2022,323.55,326.55,321,321.45,323.58,166316,2394,53816060,39660,23.85,5.55,-2.1
28-11-2022,326.2,328.45,322.5,323.9,325.01,369606,5039,120124115,164609,44.54,5.95,-2.3
25-11-2022,328.3,334,324.55,326.85,329.44,289907,3461,95508252,60337,20.81,9.45,-1.45
24-11-2022,325,329.5,324.8,328.3,327.71,444728,5725,145741501,152258,34.24,4.7,3.3
23-11-2022,320.3,326.55,319,325,323.8,321730,4131,104175962,73063,22.71,7.55,4.7
22-11-2022,315,319.6,312.55,318.55,316.04,484272,6482,153049333,195117,40.29,7.05,3.55
21-11-2022,308.05,315.3,306.3,314.25,311.83,316379,3850,98655492,86454,27.33,9,6.2
18-11-2022,307.75,312.45,305.75,309.3,308.45,324276,4187,100023881,101574,31.32,6.7,1.55
17-11-2022,305.5,309.65,305.45,307.3,307.29,158639,2065,48748611,29118,18.35,4.2,1.8
16-11-2022,308.5,311,304.25,306.95,307.75,189844,2499,58425103,34608,18.23,6.75,-1.55
15-11-2022,304,309.9,303.25,309.25,306.84,345359,4338,105968250,130376,37.75,6.65,5.25
14-11-2022,302.95,306.3,300.85,304.3,303.61,224803,2765,68252412,34730,15.45,5.45,1.35
11-11-2022,313.15,313.55,303.55,304.35,307,344873,3834,105877155,60027,17.41,10,-8.8
10-11-2022,312.85,314.9,303.25,306.9,308.6,394260,4787,121667797,90624,22.99,11.65,-5.95
09-11-2022,312,315.55,308,313.9,312.35,626826,7409,195790466,192296,30.68,7.55,1.9
07-11-2022,300.2,311.8,300.2,309.45,308.17,724639,6802,223310101,154161,21.27,11.6,9.25
04-11-2022,295.55,300.6,295.25,296.9,297.63,840855,7814,250260721,219105,26.06,5.35,1.35
03-11-2022,288,298.15,288,295.1,294.93,703697,7449,207544140,212664,30.22,10.15,7.1
02-11-2022,291.65,294.4,289.75,291.5,292.07,344273,3946,100552422,68751,19.97,4.65,-0.15
01-11-2022,291,297.35,288.8,291.9,293.14,510407,5489,149620344,76542,15,8.55,0.9
31-10-2022,290,291.45,285.25,290.25,288.88,502310,4186,145107123,106832,21.27,6.2,0.25
28-10-2022,289.6,293.7,285.8,287.8,289.76,1007623,10066,291972607,243362,24.15,7.9,-1.8
27-10-2022,284.8,292,284.15,289.6,288.52,1317487,11491,380116451,370902,28.15,7.85,4.8
25-10-2022,270.5,287.95,266.85,284.3,275.86,2546547,10005,702494275,1364787,53.59,21.1,13.8
24-10-2022,271.1,272.95,269,270.2,270.94,319119,5213,86463277,185041,57.98,3.95,-0.9
21-10-2022,260,270.9,259.35,268.6,266.85,1824396,15597,486834206,763709,41.86,11.55,8.6
20-10-2022,247.3,260.2,238.8,258.9,251.9,2178850,18705,548846800,578480,26.55,21.4,11.6
19-10-2022,250.3,255.15,246.5,249.95,249.51,595209,6072,148511222,143305,24.08,8.65,-0.35
18-10-2022,239.35,251,239.35,250.2,246.29,1200618,11365,295694886,552237,46,11.65,10.85
17-10-2022,225,238.25,223.3,237.45,229.56,1794075,6061,411842835,1281294,71.42,14.95,12.45
14-10-2022,228.2,230.9,225.75,226.65,228.44,371651,4272,84898650,161416,43.43,5.15,-1.55
13-10-2022,224.05,226.55,221,223.55,223.13,324549,3225,72417547,136908,42.18,5.55,-0.5
12-10-2022,223.05,227,222.4,226,224.82,341574,3282,76791596,57188,16.74,4.6,2.95
11-10-2022,227.35,228.5,221.9,222.6,226.95,762231,2244,172990115,604930,79.36,6.6,-4.75
10-10-2022,226.3,229.8,223.2,227.6,226.84,332558,4144,75438259,81180,24.41,6.6,1.3
07-10-2022,226.75,229.6,222.75,229.1,225.81,466976,4946,105448710,110073,23.57,6.85,2.35
